eett,latitude,longitude
90956,40.608845,22.958832
63584,38.057456,23.761723
510159,41.131955,24.886955
63580,38.051365,23.75317
450042,38.955495,20.753068
63586,38.055561,23.759048
66818,37.741847,23.905289
110213,36.415401,28.138047
200279,35.509482,24.017529
200280,35.507744,24.016783
90073,40.61237,22.96756
90073,40.61237,22.96756
90073,40.61237,22.96756
90073,40.61237,22.96756
60051,38.010149,23.848731
65002,38.020543,23.67491
60195,37.97626,23.710291
60195,37.97626,23.710291
60195,37.97626,23.710291
64999,38.017502,23.673397
64902,38.012719,23.680803
64903,38.013511,23.681187
330237,40.508313,21.677402
60669,37.982624,23.767048
200121,35.487032,23.69038
60533,37.973496,23.769143
60666,37.983128,23.768108
60538,37.974075,23.769041
510093,41.140631,24.887788
510117,41.139534,24.891644
410161,37.064757,21.639284
60276,38.016111,23.736109
200120,35.523167,23.847362
370108,35.302971,25.525196
60276,38.016111,23.736109
60276,38.016111,23.736109
40350,37.510345,22.373967
490350,41.232777,23.388984
60251,37.947083,23.715529
430047,40.70416,22.262092
190272,40.261957,23.219889
100090,41.151116,24.146735
120011,41.348682,26.493696
230026,40.632509,22.068259
470032,41.11727,25.403166
160014,40.779445,21.409362
330239,40.510511,21.673277
60668,37.981974,23.765477
350054,36.804056,22.851209
320164,37.938625,22.930735
40014,37.40522,22.722298
60672,37.982193,23.767505
60829,37.850314,23.754215
500166,39.559442,21.843549
80012,39.503707,20.263673
63493,38.062414,23.778231
270179,39.355563,22.210256
420312,37.942878,23.649703
420317,37.942876,23.652059
380175,39.097566,26.550205
380066,39.246067,26.269038
480094,37.750886,27.007399
240031,35.29304,24.927075
410020,37.100209,22.234582
80049,39.577253,20.244003
65322,38.022146,23.743411
64927,38.007814,23.674313
180024,40.084763,21.425523
280008,40.520598,21.266574
330042,40.299228,21.792746
330083,40.513196,21.680117
230038,40.523205,22.203688
310023,40.993214,22.875728
430008,40.800194,22.048137
440006,40.270983,22.511121
490058,41.085239,23.544024
490027,41.091556,23.548944
270017,39.365219,21.920051
360100,39.602675,22.436883
400082,39.366872,22.954572
400078,39.361904,22.946673
400132,39.374487,22.934747
500130,39.560453,21.769054
10257,38.258667,21.744399
10238,38.245369,21.735276
10196,38.295248,21.789841
10258,38.234396,21.73088
61613,38.022397,23.677319
130022,38.270357,24.191208
61608,38.02199,23.673151
460022,35.127593,24.651465
60815,37.829025,23.77898
10380,38.203822,21.70975
60251,37.947083,23.715529
40347,37.510204,22.377342
250264,39.675534,20.817876
250265,39.677785,20.814462
64608,38.045524,23.676928
64466,38.038379,23.820805
63735,38.021834,23.855527
65960,37.953378,23.746935
66157,37.954922,23.75301
65964,37.955656,23.749818
90130,40.739833,22.872751
60254,37.94642,23.738443
60260,38.043077,23.753526
340083,37.155724,25.472726
65966,37.953672,23.749776
66154,37.953992,23.751845
200156,35.484215,24.036394
490124,41.253934,23.334537
240111,35.326836,25.066795
240104,35.334337,25.118779
370079,35.20824,26.105293
340132,37.085997,25.149012
380030,39.104354,26.553049
480024,37.75345,26.978699
200017,35.513357,24.021674
120003,40.84542,25.873993
120008,40.847582,25.83469
120033,41.501716,26.531983
260091,40.937601,24.408921
260090,40.935751,24.394378
510038,41.139207,24.886779
280010,40.516673,21.253761
430013,40.79592,22.415238
360101,39.636192,22.421966
360043,39.639308,22.41592
360088,39.630483,22.409969
140006,38.987839,21.819779
150049,38.777666,22.784298
150077,38.809499,22.643476
90415,40.886788,23.182223
64023,37.936072,23.709675
70128,38.48023,22.584847
420032,37.691379,23.458204
65323,38.023097,23.741097
64885,38.011461,23.684871
65324,38.022809,23.741912
66828,37.744836,23.91023
60251,37.947083,23.715529
90073,40.61237,22.96756
90073,40.61237,22.96756
60091,38.064693,23.512836
60302,38.023857,23.457313
310023,40.993214,22.875728
490027,41.091556,23.548944
66024,37.944535,23.750592
66027,37.947142,23.751974
490027,41.091556,23.548944
30099,37.4174,23.345564
66042,37.945103,23.759787
65099,38.048129,23.841705
330242,40.507718,21.67436
330243,40.506926,21.675497
330244,40.507764,21.671543
150343,38.884949,22.450122
150344,38.880909,22.452034
250056,39.652178,20.842256
510131,41.13903,24.887972
63571,38.052577,23.758172
64926,38.007494,23.67548
64875,38.002308,23.685782
270094,39.503682,22.05377
60251,37.947083,23.715529
30090,37.520562,22.856579
100061,41.177993,23.971577
65024,38.024965,23.695379
63273,38.02551,23.693612
360133,39.678335,22.701824
64945,38.016055,23.682506
64953,38.015365,23.675732
190273,40.263429,23.218103
190274,40.262112,23.223848
420070,37.963323,23.61963
20022,38.623911,21.41029
20138,38.368997,21.431419
20148,38.393606,21.833529
520004,37.801616,20.830979
330230,40.513196,21.680117
330240,40.511568,21.672573
230038,40.523205,22.203688
230038,40.523205,22.203688
230038,40.523205,22.203688
470218,41.123566,25.392556
90953,40.610572,22.959848
510141,41.13639,24.890327
480046,37.711131,26.700796
290013,38.177861,20.487443
400146,39.24659,22.745803
250266,39.678511,20.835146
250267,39.679291,20.836533
60199,37.989594,23.665008
60199,37.989594,23.665008
60199,37.989594,23.665008
60199,37.989594,23.665008
66739,37.810031,23.973979
40348,37.507309,22.381179
490349,41.239776,23.394028
110226,36.180538,28.071941
120092,41.622417,26.422321
290013,38.177861,20.487443
300014,39.619755,19.919074
390009,38.833253,20.704361
520015,37.787826,20.899928
250058,39.66616,20.852682
250201,39.604886,20.860829
250056,39.652178,20.842256
10257,38.258667,21.744399
450042,38.955495,20.753068
80012,39.503707,20.263673
10016,38.251325,22.085218
10063,38.228231,21.762903
10130,38.206877,21.727355
10231,38.163666,21.667608
30014,37.633725,22.73001
30048,37.565198,22.801926
40119,37.507227,22.376137
510186,41.135862,24.881342
60817,37.834734,23.785874
360048,39.80043,22.495286
240192,35.338258,25.133549
320091,38.077926,22.63089
90108,40.540394,23.028096
90100,40.639976,22.934314
10381,38.206831,21.711192
250268,39.681313,20.836519
200113,35.496044,23.961569
250269,39.683256,20.832631
250270,39.684117,20.833634
250271,39.680441,20.829514
250272,39.679877,20.8375
420070,37.963323,23.61963
60251,37.947083,23.715529
60251,37.947083,23.715529
360009,39.74575,22.360131
61605,38.023291,23.679672
61607,38.024471,23.678189
510233,41.122364,24.868956
150185,38.589293,22.944945
130114,38.543405,23.990245
280008,40.520598,21.266574
65967,37.952615,23.749022
65968,37.952684,23.747109
280010,40.516673,21.253761
250058,39.66616,20.852682
64603,38.044212,23.676685
64606,38.044274,23.679529
250262,39.679945,20.823092
370079,35.20824,26.105293
66052,37.943672,23.744289
230015,40.517507,22.086914
320043,37.938625,22.930735
64468,38.04319,23.807262
64469,38.042868,23.807886
340316,36.390219,25.485716
150345,38.886849,22.437764
66156,37.956874,23.752976
60272,37.985864,23.72381
90109,40.615029,22.956364
60254,37.94642,23.738443
61606,38.023154,23.672074
290013,38.177861,20.487443
10258,38.234396,21.73088
410042,37.034498,22.111926
61758,38.027469,23.682493
450042,38.955495,20.753068
64464,38.040409,23.822112
300059,39.566305,19.866574
90061,40.670854,22.806344
64465,38.038819,23.819367
60671,37.981436,23.765738
64017,37.94619,23.7117
64020,37.94553,23.70858
150346,38.885957,22.438901
60665,37.984179,23.770259
60539,37.976762,23.76957
64085,37.952401,23.713341
60444,37.974518,23.77092
520043,37.729572,20.84465
63573,38.049832,23.756901
60170,37.889579,23.755293
60276,38.016111,23.736109
63599,38.063301,23.758911
110213,36.415401,28.138047
420070,37.963323,23.61963
380025,39.368847,26.171571
490061,41.236163,23.391612
520139,37.793464,20.851359
520141,37.786634,20.829831
64940,38.014566,23.686375
360004,39.719308,22.757545
50013,39.162147,20.985769
220081,37.673441,21.4379
320039,38.011051,22.751111
100081,41.166337,24.072553
60670,37.981744,23.766372
410162,36.965255,22.144223
220096,37.48473,21.648779
60202,37.961355,23.752121
80005,39.600138,20.307707
330051,40.032906,21.939391
63574,38.051598,23.757119
90955,40.608678,22.957623
63578,38.053777,23.755408
350089,37.074908,22.430664
510155,41.134793,24.891297
250273,39.680884,20.832062
420070,37.963323,23.61963
420070,37.963323,23.61963
64955,38.017423,23.676707
64959,38.018764,23.673785
64980,38.017909,23.681626
360036,39.842964,22.764873
90034,40.613632,22.685367
190275,40.25989,23.220999
320043,37.938625,22.930735
60524,37.970593,23.767941
30163,37.651302,22.728355
330236,40.509134,21.676437
30159,37.633725,22.73001
30162,37.649285,22.730362
380088,39.330651,26.308987
62922,37.997205,23.796123
70001,38.448474,22.996253
64239,37.946906,23.671203
10117,37.898823,22.124914
110143,37.321855,26.542697
90559,40.58903,23.023889
90560,40.586454,23.022079
66817,37.743412,23.90652
280114,40.464363,21.310773
280115,40.468907,21.310039
66418,37.964376,23.725013
250082,39.548674,21.011355
61602,38.022996,23.677259
61604,38.026037,23.673192
110213,36.415401,28.138047
110070,36.953039,26.980266
110097,36.892389,27.290065
240105,35.341156,25.136336
110219,36.413493,28.210201
370035,35.009385,25.739336
240103,35.328471,25.136269
340166,36.419793,25.432418
340122,37.449801,25.33006
340127,37.103607,25.375428
340161,37.444931,24.943758
210006,38.371315,26.136303
200016,35.51137,24.013618
460051,35.364052,24.477255
100019,41.151761,24.138448
310030,40.997812,22.570212
61756,38.024686,23.675498
65969,37.958228,23.751363
65972,37.958039,23.750741
66153,37.955727,23.751646
65971,37.958052,23.749542
66152,37.957177,23.751799
62397,38.105912,23.833079
420039,37.268018,23.154927
60202,37.961355,23.752121
250263,39.678713,20.819274
60202,37.961355,23.752121
60202,37.961355,23.752121
120072,41.270002,26.388736
400033,39.495758,22.886323
60240,38.080073,23.736107
340317,36.380171,25.480707
64932,38.012602,23.675173
64931,38.012233,23.676555
60287,37.980569,23.736412
60287,37.980569,23.736412
64930,38.012835,23.677233
64928,38.010305,23.676211
200001,35.455361,23.913692
65965,37.954209,23.748449
200155,35.475948,24.03866
66155,37.95346,23.753265
66444,37.97672,23.742093
63027,37.997543,23.772222
320118,37.976901,22.977173
50032,39.112636,21.208783
