siteid,latitude,longitude
539,37.9748171,23.7205719
6187,37.10360762,25.37542824
5146,36.64106411,23.02762863
2925,37.97625776,23.72879099
3470,40.33153801,21.1806868
134,38.10273604,23.67378036
948,38.04638889,23.76538889
1919,35.33362984,25.13285831
980,38.09980556,23.76658333
5476,38.26966093,22.04421217
3873,40.96778053,25.43879625
2459,38.15204711,24.37852808
4400,39.62467123,20.86188084
739,37.91516895,23.75229685
1297,40.61509664,22.96322431
6317,35.07002037,26.19190238
5825,38.05739592,23.51607087
3590,41.45637378,26.45967195
5425,37.84263969,21.74152853
3436,40.9228471,23.09240274
4535,39.27951545,20.42433491
6150,35.15029344,24.98436292
5137,36.82726155,22.98423619
4285,39.55691918,22.09225395
6229,36.40252932,28.09237067
1110,40.81840905,23.35824726
1556,36.76455557,27.11696536
1628,35.06322222,25.34183333
285,37.9942919,23.34701357
3511,40.92882609,24.83366385
4013,39.60218851,22.4364552
1643,35.06836111,24.97183333
2976,37.97023273,23.70055468
5332,37.67701231,20.80248036
2652,38.26777778,23.68583333
6226,35.29663595,25.00027269
4790,39.49906361,20.43340558
67,38.01018562,23.72352812
4390,39.31312031,22.8772311
1667,39.11675773,26.51195144
174,38.15488175,23.96418853
5016,38.24030992,21.75023003
3837,41.09369956,24.85468262
5566,37.93408333,23.88438889
4399,39.07866014,20.69945555
41759,40.67653286,22.94875925
1062,40.6739677,22.92962849
6417,36.37752179,28.11674116
6134,35.28967025,25.09620513
2427,38.42279001,22.11982956
3533,40.26877085,22.59794862
5104,37.75918365,21.43549138
6211,36.67578393,24.38176471
1322,40.60578434,22.96820918
3011,40.27765383,23.33957018
4366,39.93380556,21.00591667
4111,39.47038462,22.08352441
3813,40.76078495,22.16050756
3198,40.51667027,21.2537972
3432,40.05980217,21.08415159
3147,40.26077778,23.21891667
2195,38.68785422,21.86492454
2804,37.83869444,23.89266667
1296,40.51674252,23.28428396
469,37.98477524,23.6416451
2306,37.89550216,23.73477472
5345,37.83395353,21.3972825
4185,39.08743224,20.91989321
611,38.08890201,23.6223795
4187,39.32168613,20.35430566
2529,37.96797203,23.74444492
1565,37.98387134,23.87019432
578,38.01190327,23.68853689
3223,40.31326368,21.38833574
5156,38.09177538,22.12072536
2291,38.68761777,21.19441302
6286,38.285112,26.09801851
3205,40.79761149,21.04039524
4456,39.55447112,21.7244441
4933,39.08829331,23.74411839
5188,37.79751386,20.89487111
926,37.97107265,23.708926
1996,35.24626691,25.08275206
3319,40.58629649,21.49005464
6285,35.75544212,27.18049288
4260,39.306459,22.50578181
3341,40.72956111,22.0918865
822,38.00815142,23.86728896
1790,39.95207107,25.14876945
1522,40.61148453,22.97094881
1817,35.33431984,25.1595426
1245,40.67723969,22.95071851
1855,36.97972281,25.39611625
2173,38.77622818,21.87314513
892,38.04294444,23.78375
3162,40.83595381,22.08549859
520,37.95571206,23.6121765
42022,40.50242071,21.77676455
4465,39.6754153,22.46016488
5245,37.61807079,21.66272778
6511,35.31963889,24.48216667
3272,40.27117998,22.50845557
3723,41.533423,24.27680203
5282,37.08622321,22.43084494
3471,41.70496962,26.29514373
347,38.03179522,23.72833909
4016,39.81989776,21.22328806
2858,37.93273996,23.63648609
5258,37.69687102,21.49590626
2172,38.85944537,22.11631519
2055,38.4389902,22.88045508
514,37.94946032,23.76950507
2484,38.17186019,23.55998916
3344,40.76984196,22.31885667
5779,37.9733997,23.7347569
3846,35.51503303,24.01800244
1509,40.63381125,22.93959586
145,37.98371629,23.73036208
3308,41.13477702,22.72102372
4774,39.14260984,21.02308265
12,38.27441,23.832797
2204,38.76438734,22.75371814
218,38.00187622,23.73978133
387,37.88965187,23.76211186
1210,40.52163889,23.00077778
2397,37.97374032,23.73327413
5074,37.6022578,23.15581544
3741,41.69784937,26.30628555
4060,39.69978526,19.69717042
41348,39.1491357,21.48101331
2283,37.85497461,23.76600843
5250,35.86094444,23.30994444
6493,35.45597222,23.57702778
5095,37.90314216,21.14482599
5101,37.55390271,21.67827714
5856,38.10693115,20.80987222
4227,39.37996617,21.63443503
4152,39.87852778,20.66541667
3098,40.79655529,22.01020714
1769,35.33886975,25.13386076
3268,40.53970228,23.09389598
2053,40.20713889,23.32225
5376,37.36557704,21.88187358
830,38.03780556,23.784
2832,38.07486111,23.82280556
2359,38.26333736,24.20923854
5423,37.38212151,21.76452426
2702,37.9793,23.71518889
3435,40.06577232,21.68343192
585,38.05894444,23.75638889
4923,39.72938887,22.36439201
5420,37.98108333,23.80666667
1077,38.02046504,23.7979586
3113,40.67190556,24.55357616
6324,35.28416667,25.53269444
5694,36.92842015,21.85822198
4154,39.81464115,20.75118222
3118,41.19228097,26.30372597
2570,38.8638747,21.18533409
4474,39.60548753,20.86000038
625,37.99897977,23.72252937
2078,38.43323203,22.42569632
6315,35.39727114,25.03880337
1176,40.68849843,22.90949053
4046,39.2035,20.883
594,37.96078718,24.00532297
1036,35.51784597,24.09055288
304,37.6914187,23.45778413
2755,37.85719722,23.83447222
3027,40.22705726,24.26524125
507,37.93866923,23.7266283
4543,38.41440294,26.11657199
41546,37.98854747,23.93532561
4921,39.67225333,20.84693201
3133,41.50176264,26.53182697
4099,39.3871715,21.73355134
4687,38.00385917,23.87831262
3800,41.29495365,23.29748619
405,37.98219832,23.31972015
3792,38.00106829,23.78812693
4906,39.6638871,20.85138415
6532,35.33893187,25.13699595
5967,37.83980695,23.77187487
5225,37.81872724,21.83760467
1899,37.41468807,25.36212046
41250,37.98611786,23.76797696
2018,38.93469571,22.41838581
5060,38.25134719,22.08525516
4120,39.15280666,20.58765896
6516,35.02067746,26.12734788
5937,37.97875662,23.76296934
2582,37.98043123,23.75361629
1045,40.67704934,22.89779427
1735,35.00168729,25.79631006
3712,40.03342415,21.9359611
5096,37.85391666,21.25661696
6122,35.24951782,24.27076302
3834,41.05513324,22.78465078
2039,38.47929267,23.64157493
2136,38.86537846,23.18825053
1780,36.31392817,28.16030305
2691,38.035,23.77113889
5419,37.22534824,21.96792383
3022,39.963209,23.400046
1677,35.14309759,25.51946184
1206,37.89317935,23.95034835
4360,39.51870777,21.02350366
6140,35.20922119,25.33733144
2189,38.41087021,21.73060549
2163,38.37255482,22.78795197
5238,37.7331236,23.11802052
4712,39.3584554,22.94808381
1711,35.27216301,25.71253042
2016,38.89900801,22.48178409
3335,40.52036624,22.39522458
4523,37.51839269,22.37228601
5523,38.24252778,22.07513889
487,38.02273579,23.73070021
2215,38.58118695,22.53198347
3811,40.52357738,22.13195134
5740,37.94649057,22.43090965
5918,37.94345736,23.6469718
5084,37.47501977,23.20891557
5325,37.40600519,21.87790451
3518,40.48120717,20.9986346
5614,37.19110964,21.8865999
202,37.94676879,23.71191973
41347,38.07822224,23.73855864
2384,37.98025745,23.67847505
6439,35.18165985,25.96905981
3061,40.25205403,23.58179771
5053,37.89985211,23.87293756
2761,37.95811111,23.62619444
1766,37.68059453,26.34612022
2506,35.34573397,24.56070381
2749,40.54767853,22.98748172
6408,35.30268161,24.57262864
167,40.58824292,22.96077058
4142,39.38952068,23.01141773
4235,39.42271391,21.05403467
4276,39.62353182,19.92057129
5791,35.51257975,24.01872835
6107,35.06890471,26.067838
270,38.05209564,23.64743785
5996,38.03795298,23.81657399
1202,40.60560736,22.96371173
3468,35.50783987,24.01902201
41177,38.34149167,23.59183333
2712,37.9456519,23.67874495
3498,41.26646493,24.49673628
1284,38.88050136,23.35279027
6308,36.8805,22.24005556
716,37.97665541,23.74044858
1882,35.15130535,24.78982915
1004,40.70523125,22.78935046
5086,37.63776118,23.1540123
900,37.9979428,23.73123903
2497,38.71160402,23.74646833
5291,37.93867796,22.94321897
4776,40.69755556,23.05338889
1787,36.4295,28.21430556
3129,41.69482569,26.1246484
5045,38.05140237,23.83814635
2997,37.98885234,23.74238807
5749,37.65278938,21.30803418
361,38.02486111,23.80711111
6469,38.98722189,26.38633845
5608,37.51307007,21.89524944
866,37.97701753,23.74371454
6245,39.13222835,25.94608747
4559,39.43661111,20.60383333
4899,39.87425,22.57916667
1505,40.71984496,23.01838474
1005,40.67079889,22.80631146
2563,39.361638,22.9593802
2019,38.89613873,22.38884008
2050,38.36905608,21.43127181
394,37.93480673,23.72879133
3094,41.10798266,23.58837458
4601,39.36076239,22.94596067
6334,35.0869412,25.40736485
2292,38.67525704,21.3604563
4476,39.39612433,23.06271771
579,38.09161111,23.86202778
3156,41.13914254,24.88678254
4376,39.39507611,22.96335481
298,37.75592536,23.51785562
3218,40.31311437,21.68210733
5482,37.80183381,21.35172154
2717,37.99785139,23.84775032
1816,37.44656389,24.90560802
6016,36.09554412,27.84004446
41620,40.69730221,22.95079471
1912,35.33503735,25.12417134
5509,37.46771131,21.66294584
2514,38.13642389,24.49385701
4705,39.61166668,22.41120641
5844,37.38481927,22.19500386
6329,36.69093173,24.50991395
2548,38.89995641,22.43516399
3474,40.24727738,21.66645682
2400,38.57130214,21.66696831
5302,38.06108589,21.89386904
3523,40.24349642,21.71253512
201,37.95850084,23.69931719
114,37.91900706,24.02598751
4508,39.5726727,21.74802718
523,41.03064917,24.28018897
4303,40.17161111,20.77744444
2011,38.86022368,22.87852669
2480,38.87256316,22.43980697
41498,37.41000778,25.3597327
41276,38.02210778,23.70308837
454,38.06455952,23.68701616
1927,35.39274588,23.56862153
3191,40.52062989,21.26660275
3167,40.10830277,23.97809611
5883,37.78089221,22.68869033
5742,38.00330069,21.37981945
4101,39.36522333,21.92003164
3661,40.3151797,21.79685923
3562,40.76577277,23.90958192
5770,36.6107834,22.9325349
6069,35.4694535,24.08815862
358,38.01343442,23.70775027
3215,38.38893166,22.65357867
649,37.92310958,23.75497015
2405,38.54786982,23.66937381
2194,38.61198771,21.79368837
4246,39.60313466,22.37577726
4242,39.81195829,20.99960119
5724,37.07009335,22.10836158
1683,36.42035292,28.16044551
2251,38.70773733,20.64891214
6467,39.0292522,26.15449338
5148,36.67023686,22.39324872
3520,40.30017707,23.09907862
3572,40.99391156,22.85931175
5467,37.85131288,22.8407142
5394,38.00124964,23.77303686
2638,37.97385745,23.66226693
2076,38.99969443,22.38625157
5802,37.06534606,22.91040193
1697,35.48420196,27.11994902
5786,40.7865,21.88336111
6296,36.60543893,27.8291199
2072,38.49190906,22.97722604
3115,40.68971881,24.75798576
1562,37.55265217,25.11777678
3465,40.64900531,22.47026157
6465,39.2460807,26.26899408
113,38.03346616,23.81832095
797,37.92132721,23.70228793
1971,35.18777114,25.71528209
1856,35.42213999,24.70489431
1682,35.07517963,25.71045549
2475,37.42302778,23.48483333
2952,38.07372222,23.80855556
5350,37.64158398,22.430063
2654,35.29747112,25.1713124
1650,38.31823599,21.971396
5379,38.22444483,21.7225774
3857,39.61646181,19.83856758
4549,39.7893367,19.81541693
6287,37.34392564,26.54286624
4308,39.24672051,20.68682534
1720,36.12313396,28.05995262
5094,37.91673006,21.18522503
3460,40.78706231,21.9677075
6474,37.70032539,26.80021534
132,37.82434859,23.80905357
